"filename", "language", "JSON with Comments", "JSON", "TypeScript", "JavaScript", "TypeScript JSX", "Markdown", "CSS", "CSV", "MS SQL", "Prisma", "WebAssembly Text Format", "comment", "blank", "total"
"/Users/knamnguyen/Documents/0-Programming/viralcut/packages/db/generated/node/runtime/edge.js", "JavaScript", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 3, 8, 35
"/Users/knamnguyen/Documents/0-Programming/viralcut/packages/db/generated/node/runtime/index-browser.d.ts", "TypeScript", 0, 0, 264, 0, 0, 0, 0, 0, 0, 0, 0, 20, 87, 371
"/Users/knamnguyen/Documents/0-Programming/viralcut/packages/db/generated/node/runtime/index-browser.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 14, 2, 17
"/Users/knamnguyen/Documents/0-Programming/viralcut/packages/db/generated/node/runtime/library.d.ts", "TypeScript", 0, 0, 2343, 0, 0, 0, 0, 0, 0, 0, 0, 846, 459, 3648
"/Users/knamnguyen/Documents/0-Programming/viralcut/packages/db/generated/node/runtime/library.js", "JavaScript", 0, 0, 0, 101, 0, 0, 0, 0, 0, 0, 0, 16, 30, 147
"/Users/knamnguyen/Documents/0-Programming/viralcut/packages/db/generated/node/runtime/react-native.js", "JavaScript", 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 5, 16, 84
"/Users/knamnguyen/Documents/0-Programming/viralcut/packages/db/generated/node/runtime/wasm.js", "JavaScript", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 3, 8, 36
"/Users/knamnguyen/Documents/0-Programming/viralcut/packages/db/generated/node/schema.prisma", "Prisma", 0, 0, 0, 0, 0, 0, 0, 0, 0, 112, 0, 1, 16, 129
"/Users/knamnguyen/Documents/0-Programming/viralcut/packages/db/generated/node/wasm.d.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/knamnguyen/Documents/0-Programming/viralcut/packages/db/generated/node/wasm.js", "JavaScript", 0, 0, 0, 216, 0, 0, 0, 0, 0, 0, 0, 21, 35, 272
"/Users/knamnguyen/Documents/0-Programming/viralcut/packages/db/generated/zod-prisma-validators/index.ts", "TypeScript", 0, 0, 3055, 0, 0, 0, 0, 0, 0, 0, 0, 50, 386, 3491
"/Users/knamnguyen/Documents/0-Programming/viralcut/packages/db/package.json", "JSON", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 49
"/Users/knamnguyen/Documents/0-Programming/viralcut/packages/db/prisma/migrations/20250620142959_baseline/migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 49, 0, 0, 10, 14, 73
"/Users/knamnguyen/Documents/0-Programming/viralcut/packages/db/prisma/schema.prisma", "Prisma", 0, 0, 0, 0, 0, 0, 0, 0, 0, 112, 0, 1, 17, 130
"/Users/knamnguyen/Documents/0-Programming/viralcut/packages/db/src/client/edge.ts", "TypeScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"/Users/knamnguyen/Documents/0-Programming/viralcut/packages/db/src/client/node.ts", "TypeScript", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 32, 8, 61
"/Users/knamnguyen/Documents/0-Programming/viralcut/packages/db/src/index.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/knamnguyen/Documents/0-Programming/viralcut/packages/db/src/schema-validators.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 14
"/Users/knamnguyen/Documents/0-Programming/viralcut/packages/db/tsconfig.json", "JSON with Comments", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"/Users/knamnguyen/Documents/0-Programming/viralcut/packages/gemini-video/package.json", "JSON", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 40
"/Users/knamnguyen/Documents/0-Programming/viralcut/packages/gemini-video/scripts/master-script-output-1750846636922.json", "JSON", 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 68
"/Users/knamnguyen/Documents/0-Programming/viralcut/packages/gemini-video/scripts/test-demo-from-masterscript.ts", "TypeScript", 0, 0, 134, 0, 0, 0, 0, 0, 0, 0, 0, 75, 18, 227
"/Users/knamnguyen/Documents/0-Programming/viralcut/packages/gemini-video/scripts/test-demo-video.ts", "TypeScript", 0, 0, 105, 0, 0, 0, 0, 0, 0, 0, 0, 85, 15, 205
"/Users/knamnguyen/Documents/0-Programming/viralcut/packages/gemini-video/scripts/test-viral-video.ts", "TypeScript", 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 58, 10, 133
"/Users/knamnguyen/Documents/0-Programming/viralcut/packages/gemini-video/src/gemini-video-service.ts", "TypeScript", 0, 0, 603, 0, 0, 0, 0, 0, 0, 0, 0, 97, 118, 818
"/Users/knamnguyen/Documents/0-Programming/viralcut/packages/gemini-video/src/index.ts", "TypeScript", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 42
"/Users/knamnguyen/Documents/0-Programming/viralcut/packages/gemini-video/src/schema-validators.ts", "TypeScript", 0, 0, 159, 0, 0, 0, 0, 0, 0, 0, 0, 18, 17, 194
"/Users/knamnguyen/Documents/0-Programming/viralcut/packages/gemini-video/tsconfig.json", "JSON with Comments", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18
